StartAddress,EndAddress,Type,Unit,Readonly,General,PVName,Description,Bit,StringRep,Function,ASG,ZNAM,ONAM,ZSV,OSV,UNSV,ZRSV,ONSV,TWSV,THSV,HighHigh,High,Low,LowLow,DRVH,DRVL,Archive
0,0,Int16,,True,Modbus-TCP protocol identification number,,,,,Id number of protocol (can be different for different customers),,,,,,,,,,,,,,,,,
1,1,Int16,,True,Modbus-TCP protocol revision number,,,,,Rev number of protocol (updated each time this document changes),,,,,,,,,,,,,,,,,
2,2,Uint16,,True,The previously received Modbus-TCP watchdog value,,,,,"Copied from the ModbusTcpWatchdog holding register, can be used by the master to monitor this communication",,,,,,,,,,,,,,,,,
3,3,Int16,,True,The actual state of the modulator,,,,,"(* See Strings\State in GUI Resource.xml *)
This is the actual state of the MSM (Main State Machine), example:
StateTarget and StateRead are both ""Trig"" (13)
A solenoid interlock is tripped, this interlock was configured to interlock the ""Hv"" state (9), therefore StateTarget is immediately set to the target level below which is ""StandBy"" (5). Now all units immediately go to ""StandBy"" and report their state to the MSM, when the MSM find that all units are at ""StandBy"" it sets the iStateRead to ""StandBy"".
At the same time StatusBits.HvInlkExist is set to TRUE
Also two events are added to the EventLogg, first the interlock event and then the state event (“StandBy”)
Additionally the interlock event is copied to FirstInterlockEvent in case multiple interlocks occur in sequence this first interlock copy will not be overwritten until a reset is received)
",,,,,,,,,,,,,,,,,
4,4,Uint16,,True,A word containing 16 status bit's,,,,,"	Bit0: StbInlkExist	
 	Bit1: HvInlkExist	
 	Bit2: TrigInlkExist	
 	Bit3: WarningExist	
 	Bit4: OutsideLimits	
 	Bit5: Error	
 	Bit6: Spare	
 	Bit7: Spare	
 	Bit8: Spare	
 	Bit9: Spare	
 	Bit10: Spare	
 	Bit11: Spare	
 	Bit12: Spare	
 	Bit13: Spare	
 	Bit14: Spare
 	Bit15: Spare ",,,,,,,,,,,,,,,,,
5,5,Int16,,True,The current access level,,,,,See Strings\Message 0-3 in GUI Resource.xml,,,,,,,,,,,,,,,,,
6,7,Single,,True,Remaining time of the delay,,,,,Filament warm-up timer,,,,,,,,,,,,,,,,,
8,9,Single,,True,Pulse repetition frequency,,,,,Pulse repetition frequency read value,,,,,,,,,,,,,,,,,
20,20,Int16,,True,Modulator target state,,,,,Currently used setvalue,,,,,,,,,,,,,,,,,
21,22,Single,V,True,Voltage setvalue of all Ccps,,,,,Currently used setvalue,,,,,,,,,,,,,,,,,
23,24,Single,A,True,Filament current setvalue,,,,,Currently used setvalue,,,,,,,,,,,,,,,,,
25,26,Single,µs,True,Pulse width setvalue of all SU's,,,,,Currently used setvalue,,,,,,,,,,,,,,,,,
27,28,Single,Hz,True,Local pulse repetition frequency,,,,,Currently used setvalue,,,,,,,,,,,,,,,,,
100,101,Single,V,True,Voltage read value of Capacitor Charging Power Supply no 1 ,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
120,120,Uint16,V,True,Interlock status bits of Capacitor Charging Power Supply no 1,,,,,"Bit0 ""Mains interlock""
Bit1 ""PwmPulseCount interlock""
Bit2 ""IsaqCom interlock""
Bit3 ""SoftStart interlock""
Bit4 ""Igbt interlock""
Bit5 ""PhaseLoss interlock""
Bit6 ""TransformerTemp interlock""
Bit7 ""RectifierTemp interlock""
Bit8 ""IgbtTemp interlock""
Bit9 ""OverVoltage interlock""
Bit10 ""OverCurrent interlock""
Bit11 ""OptoFiberDarkTimeout""",,,,,,,,,,,,,,,,,
200,201,Single,A,True,Current readvalue of the filament power supply,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
202,203,Single,V,True,Voltage readvalue of the filament power supply,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
300,301,Single,nA,True,Current readvalue of the ion pump controller 1,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
302,303,Single,kV,True,Voltage readvalue of the ion pump controller 1,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
400,401,Single,A,True,Current readvalue of solenoid power supply 1,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
402,403,Single,V,True,Voltage readvalue of solenoid power supply 1,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
404,405,Single,A,True,Current readvalue of solenoid power supply 2,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
406,407,Single,V,True,Voltage readvalue of solenoid power supply 2,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
408,409,Single,A,True,Current readvalue of solenoid power supply 3,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
410,411,Single,V,True,Voltage readvalue of solenoid power supply 3,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
500,501,Single,A,True,Current Transformer readvalue,,,,,Scaled read value of the pulse current amplitude,,,,,,,,,,,,,,,,,
502,503,Single,kV,True,Capacitive voltage-divider readvalue,,,,,Scaled read value of the pulse voltage amplitude,,,,,,,,,,,,,,,,,
504,505,Single,µs,True,Full Width Half Maximum readvalue,,,,,Scaled read value of the pulse width at 50% height of the current pulse,,,,,,,,,,,,,,,,,
600,601,Single,ºC,True,Oil temperature readvalue,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
602,603,Single,mm,True,Oil level readvalue,,,,,Scaled readvalue of the oil level (0mm at Klystron min specification),,,,,,,,,,,,,,,,,
700,701,Single,ºC,True,Cool\InletWaterTemp,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
702,703,Single,ºC,True,Cool\ColRtnTemp,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
704,705,Single,ºC,True,Cool\SolTemp,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
800,801,Single,W,True,RF drive power,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
820,821,Single,dBm,True,RF forward power,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
822,823,Single,dBm,True,RF reflected power,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
824,825,Single,,True,RF VSWR,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
826,827,Single,µs,True,RF pulse length,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
900,901,Single,l/m,True,Cooling water flow rate,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
902,903,Single,l/m,True,Cooling water flow rate,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
904,905,Single,l/m,True,Cooling water flow rate,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
908,909,Single,l/m,True,Cooling water flow rate,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
910,911,Single,l/m,True,Cooling water flow rate,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
912,913,Single,l/m,True,Cooling water flow rate,,,,,Scaled readvalue,,,,,,,,,,,,,,,,,
999,999,Uint16,l/m,True,Event logg index,,,,,This is the Index of the latest entry (Modulo 50),,,,,,,,,,,,,,,,,
1000,1049,Uint16,l/m,True,Event logg increment array,,,,,"Incremented for each new event, this enables GUI to see if new events has ocurred",,,,,,,,,,,,,,,,,
1050,1099,Uint16,l/m,True,Event logg type array,,,,,"0=State, 1=Warning, 2=Interlock, 3=Error, 4=Parameter, 5=Message",,,,,,,,,,,,,,,,,
1100,1299,Uint64,l/m,True,Event logg time-stamp array,,,,,"TYPE T_FILETIME :
STRUCT
        dwLowDateTime   : DWORD;
        dwHighDateTime  : DWORD;
END_STRUCT
END_TYPE
The T_FILETIME structure is a 64-bit value representing the number of 100-nanosecond intervals since January 1, 1601 (UTC).

(Since modbus doesn’t support Uint64 you have to read four words per timestamp)",,,,,,,,,,,,,,,,,
1300,1399,Uint32,l/m,True,Event logg trig id array,,,,,The current trig id/count,,,,,,,,,,,,,,,,,
1400,1449,Uint16,l/m,True,Event logg index array,,,,,"Shows which item that generated this event, see Matrixltems in GUI Resource.xml",,,,,,,,,,,,,,,,,
1450,1499,Uint16,l/m,True,Event logg text number array,,,,,"See GUI Resource.xml\Strings, Type determines sub-element ",,,,,,,,,,,,,,,,,
1500,1549,Uint16,l/m,True,Event logg data type array,,,,,"0=No data, 1=Real, 2=Bool, 3=Int, 4=Uint, 5=Word, 6=Dint, 7=Udint, 8=Dword",,,,,,,,,,,,,,,,,
